EventID,EventDateDisplayRange,Title,Area,City,State,Zip,Begindate,Enddate,Opendate,Closedate,SearchLevels,DisplayLevels,Result,Lon,Lat,ProvisionalCalendar,EventVenueAddress,EventVenueFacilityName,EventVenueCity,EventVenueState,EventVenueZip,XEntryStatus,EventWebsite,UseaApprovalStatus,FEIOpenDate,FEICloseDate
17653,MAY 29,Willow Draw Charity Show,5,Weatherford,TX,76086,5/29/2021,5/29/2021,4/13/2021,5/11/2021,"Starter,BN,N,T","Starter,BN,N,T",0,-97.784668,32.79479,True,401 North Bend Rd,Willow Draw Equestrian,Weatherford,TX,76085,False,http://www.willowdraw.com,approved,,
17762,"SEPTEMBER 18-19, 2021",MeadowCreek Park H.T - The Fall Social Event- Pending USEF Approval,5,Kosse,TX,76653,9/18/2021,9/19/2021,8/3/2021,8/31/2021,"Starter,BN,N,T,PT,P,IP","Starter,BN,N,T,PT,P,IP",0,-96.640597,31.26988,True,1332 Highway 14 South,Meadowcreek Park,Kosse,TX,76653,False,http://www.MCPTexas.com,approved,,
17775,"OCTOBER 2-3, 2021",Fleur de Leap H.T.,5,Folsom,LA,70437,10/2/2021,10/3/2021,8/17/2021,9/14/2021,"Starter,BN,NBN,N,TN,T,PT","Starter,BN,NBN,N,TN,T,PT",0,-90.184767,30.643,True,13349 Verger Road,LAGNIAPPE EQUESTRIAN CENTER,Folsom,LA,70437,False,http://www.sedariders.org/,approved,,
17774,OCTOBER 2,Willow Draw Charity Show,5,Weatherford,TX,76085,10/2/2021,10/2/2021,8/17/2021,9/14/2021,"Starter,BN,N,T","Starter,BN,N,T",0,-97.784668,32.79479,True,401 North Bend Rd,Willow Draw Equestrian,Weatherford,TX,76085,False,http://www.willowdraw.com,approved,,
17786,OCTOBER 16,Pine Hill Fall H.T.,5,Bellville,TX,77418,10/16/2021,10/16/2021,8/31/2021,9/28/2021,"Starter,BN,N,T,P","Starter,BN,N,T,P",0,-96.239609,29.958752,True,1720 Hwy 159 East Bellville,Pine Hill,Bellville,TX,77418,False,http://www.pinehilltexas.com/,approved,,
17793,"OCTOBER 23-24, 2021",Holly Hill H.T. Pending USEF Approval,5,Benton,LA,71006,10/23/2021,10/24/2021,9/7/2021,10/5/2021,"Starter,BN,N,T,P,I","Starter,BN,N,T,P,I",0,-93.764526,32.734516,True,1296 Old Plain Dealing Rd,Holly Hill Farm,Blenton,LA,71006,False,http://www.hollyhillfarm.net/,approved,,
17802,"NOVEMBER 6-7, 2021",Texas Rose Horse Park Fall H.T. - Pending USEF Approval,5,Tyler,TX,75704,11/6/2021,11/7/2021,9/21/2021,10/19/2021,"Intro,BN,N,T,PT,P,IP,I,AI","Intro,BN,N,T,PT,P,IP,I,AI",0,-95.503062,32.472261,True,14078 TX-110,Texas Rose Horse Park,Tyler,TX,75704,False,http://www.texasrosehorsepark.com,approved,,
17563,"JANUARY 16-17, 2021",Fresno County Horse Park Combined Test,6,Fresno,CA,93722,1/16/2021,1/17/2021,12/1/2020,12/29/2020,"Intro,BN,N,T,P,I,A","Intro,CT-BN,CT-N,CT-T,CT-P,CT-I,CT-A",0,-119.923032,36.843311,True,7430 N. Weber Ave,Fresno County Horsepark,Fresno,CA,93722,True,http://www.FresnoCountyHorsePark.com,approved,,
17568,"JANUARY 29-31, 2021",Galway Downs 2021 Kickoff H.T.,6,Temecula,CA,92592,1/29/2021,1/31/2021,12/15/2020,1/12/2021,"Intro,BN,N,T,P,I,AI,A","Intro,BN,N,T,P,I,AI,CT-A",1,-117.033958,33.487278,True,38801 Los Corralitos Rd,Galway Downs,Temecula,CA,92592,True,http://www.galwaydowns.net,approved,,
17574,"FEBRUARY 12-14, 2021",Fresno County Horse Park H.T.,6,Fresno,CA,93724,2/12/2021,2/14/2021,12/29/2020,1/26/2021,"Intro,BN,N,T,P,I","Intro,BN,N,T,P,I",0,-119.923032,36.843311,True,7430 N. Weber Ave,Fresno County Horsepark,Fresno,CA,93722,True,http://www.FresnoCountyHorsePark.com,approved,,
