,show,dates
402,Full Gallop March Schooling Show II ,03/24/2019-03/24/2019
403,MDHT March Starter Trial,03/23/2019-03/24/2019
404,Poplar Place March Horse Trials (2019),3/23/2019
405,Carolina International CCI and Horse Trials,03/20/2019-03/24/2019
406,Stable View Spring Horse Trials (2019),03/19/2019-03/19/2019
407,Meadow Creek Park - The Spring Social Event,03/16/2019-03/17/2019
408,Pine Top Spring Horse Trials,03/15/2019-03/17/2019
409,Ocala Winter II Horse Trials,03/14/2019-03/17/2019
410,Full Gallop March Schooling Show ,03/13/2019-03/13/2019
411,Barnstaple XC Derby,03/12/2019-03/12/2019
412,MDHT 2019 Spring Cross Derby,03/09/2019-03/10/2019
413,Southern Pines Horse Trials - Carolina Horse Park,03/09/2019-03/10/2019
414,Full Gallop Farm March I HT,03/09/2019-03/10/2019
415,Red Hills International Horse Trial (March 2019),03/06/2019-03/08/2019
416,Chatt Hills H.T. March 2019,03/02/2019-03/03/2019
