Unnamed: 0,Division,Event,Rider,Horse,Dress Score,Dress Place,Stad Jump,Stad Time,To Date Score,To Date Place,XC Jump,XC Elapsed,XC Time,Final Score,Final Place,Difficulty,Junior,Senior,CT,Rider_x,Fall,Horse_x,Lon,Lat,temp-end,precip-end,wspd-end,visibility-end,cloudcover-end,wgust-end,moonphase-end,Precip_Prior_3_Day,Precip_Prior_5_Day,Precip_Prior_7_Day,Event_Falls,Ride_Count,Fall_Rate,Fall_Rate_Decimal,Fall_Rate_Percent
28950,CCI Two Star Long,Galway Downs International Event & H.T. (Nov 2019),David Koss,Stunner,25.8,1,1,4,0,30.2,0,7:01,0.4,26.2,1,5,0,0,0,David Koss,0,Stunner,-117.03396,33.48728,59.8,0.0,10.7,9.9,0.3,19.7,0.05,0.0,0.0,0.0,3,274,0.010948905109489052,0.010948905109489052,1.094890510948905
29230,Advanced,Chattahoochee Hills H.T.(Oct 2019),Hallie Coon,Celien,27.9,1,1,4,0,37.9,0,6:55,6,33.9,1,7,0,0,0,Hallie Coon,0,Celien,-84.70005,33.63993,70.6,0.15,11.9,9.3,84.8,23.4,0.97,0.07,0.24,1.46,8,210,0.0380952380952381,0.0380952380952381,3.8095238095238098
29658,Combined Test,Waredaca Classic Horse Trials,Matthew Kidney,Fuzion,50.9,2, , , , , ,0:00, , , ,0,0,0,1,Matthew Kidney,0,Fuzion,-77.08061,39.23332,52.7,0.0,8.8,9.9,0.1,,0.89,0.58,1.78,1.97,3,116,0.02586206896551724,0.02586206896551724,2.586206896551724
30228,CCI Three Star,Fair Hill International CCI****/***,Woods Baughman,C'est La Vie 135,27.6,2,1,0,0,27.6,0,8:30,0,27.6,1,6,0,0,0,Woods Baughman,0,C'est La Vie 135,-79.36633,35.01506,62.7,0.5,10.6,7.8,73.9,23.0,0.53,1.5,1.5,1.5,12,103,0.11650485436893204,0.11650485436893204,11.650485436893204
30336,Advanced Combined Test,War Horse Event Series (October 2019),Nobie Cannon,Bust A Groove,31.3,1,0,0,31.3,1, ,0:00, , , ,7,0,0,1,Nobie Cannon,0,Bust A Groove,-79.36633,35.01506,69.7,1.45,11.1,9.2,70.3,18.3,0.5,0.0,0.01,0.09,0,123,0.0,0.0,0.0
31011,Combined Test - Fair Hill Prep 4*,MDHT at Loch Moy Farm Classic BN3 Day Event & H.T.,Marilyn Little,RF Scandalous,25.4,1, , , , , ,0:00, , , ,0,0,0,1,Marilyn Little,0,RF Scandalous,-77.42949,39.27075,59.6,0.0,8.1,9.9,4.2,17.2,0.46,0.22,0.26,0.26,12,269,0.04460966542750929,0.04460966542750929,4.4609665427509295
31290,Introductory,Kent School Fall H.T.(Oct 2019),Margaret O'Brien,Diamond Alexis,34.4,2,0,0,34.4,1,0,4:09,0,34.4,1,1,0,0,0,,0,,-72.7383,41.5735,56.5,0.0,13.5,9.9,81.8,18.9,0.27,0.35,0.6799999999999999,0.6799999999999999,2,87,0.022988505747126436,0.022988505747126436,2.2988505747126435
31506,Preliminary-A,Windridge Farm Fall HT,Robert Meyerhoff,Gasparo van de Falieberg,29.4,2,0,0,29.4,2,0,5:18,0,29.4,1,5,0,0,0,Robert Meyerhoff,0,,-81.82851,35.22747000000001,66.3,0.12,12.2,9.7,80.3,25.3,0.22,0.0,0.09,0.09,2,69,0.028985507246376812,0.028985507246376812,2.898550724637681
31575,CCI Two Star-A,Morven Park Fall International H.T. & CCIS-2/3/4*,Jackie LeMastus,Lup The Loop,28.0,1,0,0,28,1,0,5:15,0,28,1,5,0,0,0,Jackie LeMastus,0,Lup The Loop,-77.55527,39.14542,67.9,0.0,15.2,9.6,35.0,24.2,0.16,0.0,0.51,0.51,11,332,0.03313253012048193,0.03313253012048193,3.313253012048193
31931,CCI Two Star Short,Woodside International H.T.(Oct 2019),Rebecca Braitling,Dassett Ricochet,25.6,2,0,0,25.6,1,0,5:28,0,25.6,1,5,0,0,0,Rebecca Braitling,0,Dassett Ricochet,-122.24548,37.40747,56.3,0.0,19.6,9.6,11.9,29.0,0.12,0.01,0.01,0.01,10,341,0.02932551319648094,0.02932551319648094,2.932551319648094
