Division,Event,Rider,Horse,Dress Score,Dress Place,Stad Jump,Stad Time,To Date Score,To Date Place,XC Jump,XC Elapsed,XC Time,Final Score,Final Place,dates,Start_Date,End_Date,Start_Datetime,End_Datetime,Datetime_Match,Title,Merge_Candidate,Area,Lon,Lat,EventVenueAddress,EventVenueFacilityName,EventVenueCity,EventVenueState,EventVenueZip,EventWebsite
Elementary - Junior Horse Trials-A,GMHA Starter Horse Trials (Aug 2020),Adeline  Tullar,Twilights Beauty ,31.7,1,0,0,31.7,1,20,5:19,49.6,101.3,2,08/30/2020-08/30/2020,8/30/20,8/30/20,8/30/20,8/30/20,True,GMHA June  ,GMHA Starter Horse Trials (Aug 2020),1,-72.53926,43.55708,5491 South Road,GMHA,South Woodstock,VT,5071.0,http://www.gmhainc.org
Intermediate,Full Gallop Farm February H.T.,Olivia Hayes,Astrana De La Galerna ,35.9,2,0,0,35.9,2,0,5:40,14.4,50.3,1,02/27/2019-02/27/2019,2/27/19,2/27/19,2/27/19,2/27/19,True,Full Gallop Farm February I  ,Full Gallop Farm February H.T.,3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://fullgallopfarm.com
Preliminary,Full Gallop Farm February Horse Trials,Meg Bowers,Keep The Change,30.4,2,4,0,34.4,2-T,0,4:35,0,34.4,1,02/05/2020-02/05/2020,2/5/20,2/5/20,2/5/20,2/5/20,True,Full Gallop Farm February II  ,Full Gallop Farm February Horse Trials,3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com
Preliminary,Full Gallop Farm February Horse Trials,Meg Bowers,Keep The Change,30.4,2,4,0,34.4,2-T,0,4:35,0,34.4,1,02/06/2019-02/06/2019,2/6/19,2/6/19,2/6/19,2/6/19,True,Full Gallop Farm February II  ,Full Gallop Farm February Horse Trials,3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com
Preliminary,Full Gallop Farm February II H.T.(Feb 2020),Daniel Clasing,Greek Empire,32.2,4,0,0,32.2,4,0,4:54,0,32.2,1,02/25/2020-02/26/2020,2/25/20,2/26/20,2/25/20,2/26/20,False,Full Gallop Farm January H.T,Full Gallop Farm February II H.T.(Feb 2020),3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com/
Preliminary,Full Gallop Farm HT,Ivie Cullen-Dean,Fernhill Full Throttle,25.9,1,0,0,25.9,1,0,4:59,0,25.9,1,06/14/2020-06/14/2020,6/14/20,6/14/20,6/14/20,6/14/20,True,Flying Cross Farm  ,Full Gallop Farm HT,8,-85.52320999999999,38.42696,9220 W Hwy 42,Flying Cross Farm,Goshen,KY,40026.0,www.flyingcrossfarm.org
Preliminary,Full Gallop Farm HT,Ivie Cullen-Dean,Fernhill Full Throttle,25.9,1,0,0,25.9,1,0,4:59,0,25.9,1,03/28/2020-03/29/2020,3/28/20,3/29/20,3/28/20,3/29/20,False,Flying Cross Farm  ,Full Gallop Farm HT,8,-85.52320999999999,38.42696,9220 W Hwy 42,Flying Cross Farm,Goshen,KY,40026.0,www.flyingcrossfarm.org
Dressage Test of Choice 1st/ 2nd Level,War Horse Event Series (Aug 2020),Courtney Bauer*,Reagen of Knightsbridge, , , ,0:00, , , , , , , ,08/23/2020-08/23/2020,8/23/20,8/23/20,8/23/20,8/23/20,True,War Horse Event Series August  ,War Horse Event Series (Aug 2020),2,-79.36633,35.01506,2814 Montrose Rd,Carolina Horse Park,Raeford,NC,28376.0,http://www.carolinahorsepark.com/
Preliminary,Full Gallop Farm January H.T(Jan 2020),Susan Jellum,Rochambeau,33.3,2,0,0,33.3,2,0,4:57,0.4,33.7,1,01/26/2020-01/26/2020,1/26/20,1/26/20,1/26/20,1/26/20,True,Full Gallop Farm July  ,Full Gallop Farm January H.T(Jan 2020),3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com
Advanced Intermediate,Full Gallop Farm January HT,Erin Pullen,Tag,32.9,1,0,2,34.9,1,0,6:02,23.2,58.1,1,01/27/2019-01/27/2019,1/27/19,1/27/19,1/27/19,1/27/19,True,Full Gallop Farm June  ,Full Gallop Farm January HT,3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com
Training,Full Gallop Farm January Schooling Show,Lisa Burch,FGF Slew Z Cowboy,36.7,1,4,4.8,45.5,1,20,6:25,31.6,97.1,1,01/05/2020-01/05/2020,1/5/20,1/5/20,1/5/20,1/5/20,True,Full Gallop Farm June  ,Full Gallop Farm January Schooling Show,3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com
Intermediate/Preliminary,Full Gallop Farm June Horse Trials,Nilson Moreira da Silva,Fernhill Rock Phantom,33.2,1,0,0,33.2,1,0,5:29,13.6,46.8,1,06/15/2019-06/16/2019,6/15/19,6/16/19,6/15/19,6/16/19,False,Full Gallop Farm March  ,Full Gallop Farm June Horse Trials,3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com/
Dressage test beg nov b,Full Gallop Farm June Schooling Show,Katie Cummings,FGF Monongah,37,1, ,0:00, , , , , , , ,06/02/2019-06/02/2019,6/2/19,6/2/19,6/2/19,6/2/19,True,Full Gallop Farm March  ,Full Gallop Farm June Schooling Show,3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com/
Preliminary,Full Gallop Farm March H.T.,Ashley MacVaugh,Reuben Rialto,27.2,1,0,0,27.2,1,0,5:01,0.8,28,1,03/07/2020-03/08/2020,3/7/20,3/8/20,3/7/20,3/8/20,False,Full Gallop Farm March I   ,Full Gallop Farm March H.T.,3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com/
Intermediate,Full Gallop Farm March I HT,Monica Fiss,Malibu Rock,41.9,1,0,0,41.9,1,0,5:18,5.6,47.5,1,03/09/2019-03/10/2019,3/9/19,3/10/19,3/9/19,3/10/19,False,Full Gallop Farm March II  ,Full Gallop Farm March I HT,3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com/
Intermediate,Full Gallop Farm March II H.T. (2019),Cierra  Daratony,Rio De Janeiro,40.3,1,0,0,40.3,1,0,5:11,2.8,43.1,1,03/31/2019-03/31/2019,3/31/19,3/31/19,3/31/19,3/31/19,True,Full Gallop Farm Mid February  ,Full Gallop Farm March II H.T. (2019),3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com
Preliminary,Full Gallop Farm Nov HT,Magdalena Valenti,Wish I Am,34.8,1-T, , , , , ,0:00, , , ,11/04/2018-11/04/2018,11/4/18,11/4/18,11/4/18,11/4/18,True,Full Gallop Farm November   ,Full Gallop Farm Nov HT,3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com
Preliminary,Full Gallop Farm November HT,Susan Thomas,Excel Star Kate,27.2,1,0,0,27.2,1,0,5:13,7.2,34.4,1,11/03/2019-11/03/2019,11/3/19,11/3/19,11/3/19,11/3/19,True,Full Gallop Farm November   ,Full Gallop Farm November HT,3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com
Dressage Intro A,Full Gallop Farm Schooling Show (June2020),Brooklyn Noftsinger,Carpo,45,1, ,0:00, , , , , , , ,06/28/2020-06/28/2020,6/28/20,6/28/20,6/28/20,6/28/20,True,Full Gallop Farm November   ,Full Gallop Farm Schooling Show (June2020),3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com
Dressage Intermediate A,Full Gallop Farm Schooling Show (March 11),Amy Cobb,FGF Mr. Montificent , , , ,0:00, , , , , , , ,03/11/2020-03/11/2020,3/11/20,3/11/20,3/11/20,3/11/20,True,Full Gallop Farm November   ,Full Gallop Farm Schooling Show (March 11),3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com
Preliminary/Training,Full Gallop Farm Schooling Show (May 2020),Lauren Lindsay,FGF Shelby Cobra,39.1,1,4,0,43.1,1,0,4:34,0,43.1,1,05/30/2020-05/30/2020,5/30/20,5/30/20,5/30/20,5/30/20,True,Full Gallop Farm November   ,Full Gallop Farm Schooling Show (May 2020),3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com
Open Intermediate,GMHA Festival of Eventing August Horse Trials(Aug ,Anna Loschiavo,Spartacus Q,31.1,1,0,1.6,32.7,1,0,6:07,11.2,43.9,1,08/09/2019-08/11/2019,8/9/19,8/11/19,8/9/19,8/11/19,False,GMHA ,GMHA Festival of Eventing August Horse Trials(Aug ,1,-72.53926,43.55708,5491 South Road,GMHA,South Woodstock,VT,5071.0,http://www.gmhainc.org
Open Intermediate,GMHA Festival of Eventing August Horse Trials(Aug ,Erin Renfroe,Monbeg Myth,40.4,3,8,0,48.4,3,0,6:41,24.8,73.2,2,08/07/2020-08/09/2020,8/7/20,8/9/20,8/7/20,8/9/20,False,GMHA ,GMHA Festival of Eventing August Horse Trials(Aug ,1,-72.53926,43.55708,5491 South Road,GMHA,South Woodstock,VT,5071.0,http://www.gmhainc.org
Prelim Dressage A,Full Gallop February Schooling HT,Molli Giles,Yazoo Expedition,42.2,1, ,0:00, , , , , , , ,02/12/2020-02/12/2020,2/12/20,2/12/20,2/12/20,2/12/20,True,Full Gallop Farm November   ,Full Gallop February Schooling HT,3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com
Prelim Dressage A,Full Gallop February Schooling HT,Molli Giles,Yazoo Expedition,42.2,1, ,0:00, , , , , , , ,02/13/2019-02/13/2019,2/13/19,2/13/19,2/13/19,2/13/19,True,Full Gallop Farm November   ,Full Gallop February Schooling HT,3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com
Advanced Intermediate,The Summer Event at Woodside (Aug 2020),Andrea Baxter,Indy 500,31.8,4-T,0,5:32,6,37.8,3,0,0.4,38.2,2,08/06/2020-08/09/2020,8/6/20,8/9/20,8/6/20,8/9/20,False,The Summer Event at Woodside ,The Summer Event at Woodside (Aug 2020),6,-122.24548,37.40747,3674 Sand Hill Rd.,Woodside Horse Park,Woodside,CA,94062.0,http://www.woodsideeventing.com
Prelim CT,Full Gallop July 6th Schooling ,Katie Cummings,FGF Boundtobespecial,28.9,1, ,0:00, , , , , , , ,07/06/2019-07/06/2019,7/6/19,7/6/19,7/6/19,7/6/19,True,Full Gallop Farm November   ,Full Gallop July 6th Schooling ,3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com
Dressage,Full Gallop March Schooling Show ,Paige May,Day Break,51.5,1, ,0:00, , , , , , , ,03/13/2019-03/13/2019,3/13/19,3/13/19,3/13/19,3/13/19,True,Full Gallop Farm November   ,Full Gallop March Schooling Show ,3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com
Dressage CCI** test B,Full Gallop March Schooling Show II ,Sierra Shurtz,Zach Eyed Pea,47.5,1, ,0:00, , , , , , , ,03/24/2019-03/24/2019,3/24/19,3/24/19,3/24/19,3/24/19,True,Full Gallop Farm November   ,Full Gallop March Schooling Show II ,3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com
Dressage only - test of choice,Full Moon Farms 2019 Spring Thing,Dane Mallon,Helios, , , ,0:00, , , , , , , ,04/07/2019-04/07/2019,4/7/19,4/7/19,4/7/19,4/7/19,True,Full Moon Farms  ,Full Moon Farms 2019 Spring Thing,2,-76.91386,39.4572,4326 Louisville Rd,Full Moon Farm,Finksburg,MD,21048.0,http://fullmoonfarm.com/
CCI Two Star,Horse Park of New Jersey H.T. II,Erin Kanara,Plouescat Gold,29.7,5,4,0,33.7,3,0,5:10,0,33.7,2,07/24/2020-07/26/2020,7/24/20,7/26/20,7/24/20,7/26/20,False,Horse Park of New Jersey ,Horse Park of New Jersey H.T. II,2,-74.49821,40.19321,626 Rte 524,The Horsepark of New Jersey,Allentown,NJ,8501.0,http://www.horseparkofnewjersey.com
Dressage Test of Choice,Stableview Eventing Academy- July,Deborah Wells Howell,Chilli,56.72,1, ,0:00, , , , , , , ,07/19/2020-07/19/2020,7/19/20,7/19/20,7/19/20,7/19/20,True,Stable View Summer   ,Stableview Eventing Academy- July,3,-81.79998,33.648590000000006,117 Stable Dr,Stable View Farm,Aiken,SC,29801.0,http://stableviewfarm.com
Open Training-A,Silverwood Farm Summer Horse Trials,Mark Ward,Purple Rain,26,1,0,0,26,1,0,4:44,0,26,1,07/20/2019-07/20/2019,7/20/19,7/20/19,7/20/19,7/20/19,True,Silverwood Farm Spring  ,Silverwood Farm Summer Horse Trials,4,-88.15521,42.535470000000004,28426 98th Street,Silverwood Farm,Trevor,WI,53179.0,http://www.silverwoodfarm.net/
Advanced,Galway Downs Horse Trials (July 2020),Erin R. Kellerhouse,Woodford Reserve,27.9,6,0,2.8,30.7,3,0,6:28,6.4,37.1,1,07/17/2020-07/19/2020,7/17/20,7/19/20,7/17/20,7/19/20,False,Galway Downs,Galway Downs Horse Trials (July 2020),6,-117.03396000000001,33.48728,38801 Los Corralitos Rd,Galway Downs,Temecula,CA,92592.0,http://www.galwaydowns.net
CCI Two Star Long,Galway Downs International Event & H.T. (Nov 2019),David Koss,Stunner,25.8,1,0,7:01,0.4,26.2,1,4,0,30.2,1,10/31/2019-11/03/2019,10/31/19,11/3/19,10/31/19,11/3/19,False,Galway Downs,Galway Downs International Event & H.T. (Nov 2019),6,-117.03396000000001,33.48728,38801 Los Corralitos Rd,Galway Downs,Temecula,CA,92592.0,http://www.galwaydowns.net
CCI Two Star Short,Galway Downs International Event and H.T. (2019),Meg Pellegrini,RF Eloquence,26.8,1,0,0,26.8,1,0,5:33,0,26.8,1,03/29/2019-03/31/2019,3/29/19,3/31/19,3/29/19,3/31/19,False,Galway Downs International  ,Galway Downs International Event and H.T. (2019),6,-117.03396000000001,33.48728,38801 Los Corralitos Rd,Galway Downs,Temecula,CA,92592.0,http://www.galwaydowns.net
Open Intermediate,Poplar Place Farm May H.T.(JULY 2020),Kate Brown,Victor Z,28.6,1-T,0,6:19,16,44.6,1,0,0.4,45,1,07/11/2020-07/12/2020,7/11/20,7/12/20,7/11/20,7/12/20,False,Poplar Place Farm June  ,Poplar Place Farm May H.T.(JULY 2020),3,-84.86506999999999,32.7023,8191 US Highway 27 E,Poplar Place Farm,Hamilton,GA,31811.0,http://www.poplarplacefarm.com/
Advanced / Intermediate,Galway Downs Spring Horse Trials (2019),Emilee Libby,Jakobi,32.9,1,0,5:21,5.6,38.5,1,0,0,38.5,1,05/10/2019-05/12/2019,5/10/19,5/12/19,5/10/19,5/12/19,False,Galway Downs International Event &  ,Galway Downs Spring Horse Trials (2019),6,-117.03396000000001,33.48728,38801 Los Corralitos Rd,Galway Downs,Temecula,CA,92592.0,http://www.galwaydowns.net
Advanced CT,Galway Downs Winter H.T.(Jan 2020),Erin R. Kellerhouse,Woodford Reserve,28.9,1,0,0.4,29.3,1, ,0:00, , , ,01/31/2020-02/02/2020,1/31/20,2/2/20,1/31/20,2/2/20,False,Galway Downs July  ,Galway Downs Winter H.T.(Jan 2020),6,-117.03396000000001,33.48728,38801 Los Corralitos Rd,Galway Downs,Temecula,CA,92592.0,http://www.galwaydowns.net
Future Event Horse - Yearling,Maryland H.T. at Loch Moy Farm II(Jul 2020),Monica  Fiss,Utah Beach, , , ,0:00, , , , , , , ,07/10/2020-07/12/2020,7/10/20,7/12/20,7/10/20,7/12/20,False,The Maryland   at Loch Moy Farm,Maryland H.T. at Loch Moy Farm II(Jul 2020),2,-77.42949,39.27075,1235 Park Mills Road,Loch Moy Farm,Adamstown,MD,21710.0,http://www.themarylandhorsetrials.com
Open Intermediate,Galway Downs Winter Horse Trials,Auburn Excell-Brady,BSP Tuxedo,32.3,1,8,0,40.3,2,0,5:47,16,56.3,1,02/01/2019-02/03/2019,2/1/19,2/3/19,2/1/19,2/3/19,False,Galway Downs Spring  ,Galway Downs Winter Horse Trials,6,-117.03396000000001,33.48728,38801 Los Corralitos Rd,Galway Downs,Temecula,CA,92592.0,http://www.galwaydowns.net
Advanced-A,Horse Park of New Jersey H.T. I,Phillip Dutton,Z,26.1,1,0,0,26.1,1,0,6:12,6,32.1,1,06/28/2019-06/30/2019,6/28/19,6/30/19,6/28/19,6/30/19,False,Horse Park of New Jersey,Horse Park of New Jersey H.T. I,2,-74.49821,40.19321,626 Rte 524,The Horsepark of New Jersey,Allentown,NJ,8501.0,http://www.horseparkofnewjersey.com
FEH Yearling,Texas Rose Horse Park H.T.,Bobbi Jo Criner,Blue Hurricane , , , ,0:00, , , , , , , ,06/19/2020-06/21/2020,6/19/20,6/21/20,6/19/20,6/21/20,False,Texas Rose Horse Park  ,Texas Rose Horse Park H.T.,5,-95.50305999999999,32.47226,14078 TX-110,Texas Rose Horse Park,Tyler,TX,75704.0,http://www.texasrosehorsepark.com
Modified,Grand Oaks Horse Trials(Jan 2020),Lauren Kieffer,I'll Have Another,22.6,2,0,0,22.6,1,0,5:55,0,22.6,1,01/18/2020-01/19/2020,1/18/20,1/19/20,1/18/20,1/19/20,False,Grand Oaks  ,Grand Oaks Horse Trials(Jan 2020),3,-82.21323000000001,29.40346,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686.0,http://www.thegrandoaks.com/
Open Training,Silverwood Farm Spring Horse Trials,Stephanie Caston,London ROF,31.4,6,0,0,31.4,2,0,4:45,4.4,35.8,2,06/13/2020-06/13/2020,6/13/20,6/13/20,6/13/20,6/13/20,True,Silverwood Farm October  ,Silverwood Farm Spring Horse Trials,4,-88.15521,42.535470000000004,28426 98th Street,Silverwood Farm,Trevor,WI,53179.0,http://www.silverwoodfarm.net/
Dressage Test of Choice,Stable View Eventing Academy Schooling HorseTrial,Susan Faulkner,HelloHello,0,1, ,0:00, , , , , , , ,05/23/2020-05/24/2020,5/23/20,5/24/20,5/23/20,5/24/20,False,Stable View Oktoberfest 1/ 2/3/4* and  ,Stable View Eventing Academy Schooling HorseTrial,3,-81.79998,33.648590000000006,117 Stable Dr,Stable View Farm,Aiken,SC,29801.0,http://www.StableViewFarm.com
Open Intermediate,Texas Rose Horse Park H.T.(Mar 2020),Kim Wendel,Happily Twisted, , , ,0:00, , , , , , , ,03/27/2020-03/29/2020,3/27/20,3/29/20,3/27/20,3/29/20,False,Texas Rose Horse Park  ,Texas Rose Horse Park H.T.(Mar 2020),5,-95.50305999999999,32.47226,14078 TX-110,Texas Rose Horse Park,Tyler,TX,75704.0,http://www.texasrosehorsepark.com
NEH,Meadow Creek Park - The Spring Social Event,Jackie Ericksen,Flagmount's Deuce, , , ,0:00, , , , , , , ,03/16/2019-03/17/2019,3/16/19,3/17/19,3/16/19,3/17/19,False,MeadowCreek Park,Meadow Creek Park - The Spring Social Event,5,-96.6406,31.26988,1332 Highway 14 South,Meadowcreek Park,Kosse,TX,76653.0,http://www.MCPTexas.com
NEH,Meadow Creek Park - The Spring Social Event,Kimberly Gardner Taylor,Songoftexas, , , ,0:00, , , , , , , ,03/13/2020-03/15/2020,3/13/20,3/15/20,3/13/20,3/15/20,False,MeadowCreek Park,Meadow Creek Park - The Spring Social Event,5,-96.6406,31.26988,1332 Highway 14 South,Meadowcreek Park,Kosse,TX,76653.0,http://www.MCPTexas.com
Open Intermediate-A,Pine Top Spring Horse Trials,Boyd Martin,On Cue,29,4,0,0,29,3,0,6:16,6.4,35.4,1,03/15/2019-03/17/2019,3/15/19,3/17/19,3/15/19,3/17/19,False,Pine Hill Spring  ,Pine Top Spring Horse Trials,5,-96.23961,29.95875,1720 Hwy 159 East Bellville,Pine Hill,Bellville,TX,77418.0,http://www.pinehilltexas.com/
CCI Two Star,Horse Park of New Jersey H.T. II(July 2019),Lauren Chumley,Atlanta B,32.5,2,0,0,32.5,1,0,5:42,0,32.5,1,07/26/2019-07/28/2019,7/26/19,7/28/19,7/26/19,7/28/19,False,Horse Park of New Jersey   I,Horse Park of New Jersey H.T. II(July 2019),2,-74.49821,40.19321,626 Rte 524,The Horsepark of New Jersey,Allentown,NJ,8501.0,http://www.horseparkofnewjersey.com
Advanced Combined Test,Ocala Winter II H.T.(Mar 2020),Sara Kozumplik Murphy,Enough Already,29.8,3,0,0,29.8,2, ,0:00, , , ,03/12/2020-03/15/2020,3/12/20,3/15/20,3/12/20,3/15/20,False,Ocala Winter I  ,Ocala Winter II H.T.(Mar 2020),3,-82.13986,29.05603,11008 S Hwy 475,Florida Horse Park,Ocala ,FL,34480.0,http://www.flhorsepark.com
Open Preliminary,Horse Trials at Majestic Oaks (Jan 2020),Caroline Martin,Cheranimo,29,4,0,0,29,3,0,5:08,0,29,1,01/11/2020-01/12/2020,1/11/20,1/12/20,1/11/20,1/12/20,False,at Majestic Oaks ,Horse Trials at Majestic Oaks (Jan 2020),3,-82.21323000000001,29.40346,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686.0,http://majesticoaksocala.com
CCI Two Star Short,Red Hills International Horse Trial ,Alexander O'Neal,Pauldary's Arctic Tiger,31.3,8,0,5:39,0,31.3,4,0,0,31.3,2,03/06/2020-03/08/2020,3/6/20,3/8/20,3/6/20,3/8/20,False,Red Hills International  ,Red Hills International Horse Trial ,3,-84.30026,30.538529999999998,"Gate B, 1775 Miller Landing Road",Elinor Klapp Phipps Park,Tallahassee,FL,32312.0,http://www.RHHT.org
Preliminary/Training,Hunt Club Farms-Eventing For The Cure!,Karen Conk,Flux Capacitor ,35,1,4,0,39,1,60,5:00,R,R,R,08/31/2019-08/31/2019,8/31/19,8/31/19,8/31/19,8/31/19,True,Hunt Club Farms   ,Hunt Club Farms-Eventing For The Cure!,2,-78.03623,39.19103,294 Longmarsh Rd,Hunt Club Farms,Berryville,VA,22611.0,http://www.huntclubfarms.net
CCI Three Star Long,Jersey Fresh International Three-day Event,Doug Payne,Starr Witness,30.1,3,0,8:12,0,30.1,2,0,0,30.1,1,05/08/2019-05/12/2019,5/8/19,5/12/19,5/8/19,5/12/19,False,Jersey Fresh International ,Jersey Fresh International Three-day Event,2,-74.49821,40.19321,626 Rte 524,The Horsepark of New Jersey,Allentown,NJ,8501.0,http://www.jfi3d.com
Introductory,Kent School Fall H.T.(Oct 2019),Margaret O'Brien,Diamond Alexis,34.4,2,0,0,34.4,1,0,4:09,0,34.4,1,10/06/2019-10/06/2019,10/6/19,10/6/19,10/6/19,10/6/19,True,Kent School Fall  ,Kent School Fall H.T.(Oct 2019),1,-72.7383,41.5735,30 Westwoods Rd.,Kent School,Kent,CT,6359.0,http://www.area1usea.org/Resources/Links/Kent/Kentpage.htm
Intermediate / Preliminary,Three Lakes Winter II HT ,Lauren Kieffer,Get Gaudi,24.8,1,0,0,24.8,1,0,4:53,1.6,26.4,1,02/23/2019-02/24/2019,2/23/19,2/24/19,2/23/19,2/24/19,False,Three Lakes Winter I   at Caudle Ranch,Three Lakes Winter II HT ,3,-81.83154,28.61913,18543 Highway 19,Caudle Ranch,Groveland,FL,34736.0,http://www.threelakesht.com
Intermediate / Preliminary,Three Lakes Winter II HT ,Sinead Maynard,Stakkato Bronx,34.1,2-T,0,0.4,34.5,2,0,5:04,6,40.5,2,02/22/2020-02/23/2020,2/22/20,2/23/20,2/22/20,2/23/20,False,Three Lakes Winter I   at Caudle Ranch,Three Lakes Winter II HT ,3,-81.83154,28.61913,18543 Highway 19,Caudle Ranch,Groveland,FL,34736.0,http://www.threelakesht.com
Advanced Test A-A,Pine Top Advanced Horse Trials,Doug Payne,Starr Witness,23.8,1,0,0,23.8,1,0,6:20,2,25.8,1,02/22/2019-02/24/2019,2/22/19,2/24/19,2/22/19,2/24/19,False,Pine Top Advanced  ,Pine Top Advanced Horse Trials,3,-82.46623000000001,33.45322,1432 Augusta Hwy,Pine Top Farm,Thomson,GA,30824.0,http://www.pinetopfarm.com
Advanced Test A-A,Pine Top Advanced Horse Trials,Tim Bourke,Quality Time,32.5,6,0,0,32.5,4,0,6:30,6,38.5,2,02/21/2020-02/23/2020,2/21/20,2/23/20,2/21/20,2/23/20,False,Pine Top Advanced  ,Pine Top Advanced Horse Trials,3,-82.46623000000001,33.45322,1432 Augusta Hwy,Pine Top Farm,Thomson,GA,30824.0,http://www.pinetopfarm.com
Advanced Test A,Rocking Horse Winter 2 Horse Trials,Lisa Marie Fergusson,Honor Me,31.3,7,0,0,31.3,5,0,6:10,5.6,36.9,1,02/14/2019-02/17/2019,2/14/19,2/17/19,2/14/19,2/17/19,False,Rocking Horse Spring  ,Rocking Horse Winter 2 Horse Trials,3,-81.64143,28.99305,44200 S.R. 19 N,Rocking Horse Farm,Altoona,FL,32702.0,http://www.rockinghorseeventing.com
Advanced Test A,Rocking Horse Winter 2 Horse Trials,Alexandra Knowles,Ms. Poppins,29.8,6,0,0,29.8,4,0,6:21,10,39.8,2,02/13/2020-02/16/2020,2/13/20,2/16/20,2/13/20,2/16/20,False,Rocking Horse Spring  ,Rocking Horse Winter 2 Horse Trials,3,-81.64143,28.99305,44200 S.R. 19 N,Rocking Horse Farm,Altoona,FL,32702.0,http://www.rockinghorseeventing.com
Advanced Combined Test,Long Leaf Pine Horse Trials - CHP,Ariel Grald,Leamore Master Plan,32.7,1, ,0:00, , , , , , , ,04/20/2019-04/21/2019,4/20/19,4/21/19,4/20/19,4/21/19,False,Longleaf Pine  ,Long Leaf Pine Horse Trials - CHP,2,-79.36633,35.01506,2814 Montrose Rd,Carolina Horse Park,Raeford,NC,28376.0,http://www.carolinahorsepark.com/
Open Intermediate,Loudoun Hunt Pony Club Spring Horse Trial (April 2,Cornelia Dorr,Sir Patico MH,29.8,2,0,0,29.8,2,0,5:32,0,29.8,1,04/27/2019-04/28/2019,4/27/19,4/28/19,4/27/19,4/28/19,False,Loudoun Hunt Pony Club Spring  ,Loudoun Hunt Pony Club Spring Horse Trial (April 2,2,-77.55527,39.14542,41793 Tutt Lane,Morven Park Equestrian Center,Leesburg,VA,20176.0,https://loudounhunt.ponyclub.org/pages/334.aspx
Advanced / Intermediate,Pine Top Intermediate Horse Trials,Colleen Loach,Qorry Blue D'Argouges,33.8,4,0,0,33.8,2,0,5:59,7.6,41.4,1,02/08/2019-02/10/2019,2/8/19,2/10/19,2/8/19,2/10/19,False,Pine Top Advanced  ,Pine Top Intermediate Horse Trials,3,-82.46623000000001,33.45322,1432 Augusta Hwy,Pine Top Farm,Thomson,GA,30824.0,http://www.pinetopfarm.com
Advanced / Intermediate,Pine Top Intermediate Horse Trials,Fylicia Barr,Galloway Sunrise,29.8,2,0,2.4,32.2,1,0,6:24,17.6,49.8,2,02/07/2020-02/09/2020,2/7/20,2/9/20,2/7/20,2/9/20,False,Pine Top Advanced  ,Pine Top Intermediate Horse Trials,3,-82.46623000000001,33.45322,1432 Augusta Hwy,Pine Top Farm,Thomson,GA,30824.0,http://www.pinetopfarm.com
