Event,Lon,Lat,temp-end,precip-end,wspd-end,visibility-end,cloudcover-end,moonphase-end,Precip_Prior_3_Day,Precip_Prior_5_Day,Precip_Prior_7_Day,Event_Falls,Ride_Count,Fall_Rate_Decimal,Fall_Rate_Percent,End_Datetime
Full Gallop Farm February Horse Trials,-81.58405,33.57045,63.6,0.39,12.2,9.2,64.9,0.39,0.0,1.09,1.1900000000000002,0,103,0.0,0.0,2020-02-05
Full Gallop Farm February Horse Trials,-81.58405,33.57045,63.6,0.39,12.2,9.2,64.9,0.39,0.0,1.09,1.1900000000000002,0,103,0.0,0.0,2019-02-06
Three Lakes Winter 1,-81.83154,28.61913,66.5,0.01,10.2,9.8,71.2,0.97,0.0,0.2,1.67,2,264,0.007575757575757576,0.7575757575757576,2019-02-02
Three Lakes Winter 1,-81.83154,28.61913,66.5,0.01,10.2,9.8,71.2,0.97,0.0,0.2,1.67,2,264,0.007575757575757576,0.7575757575757576,2020-02-01
Sporting Days Farm Feb. HT,-72.56326,43.81005,25.8,0.02,5.3,9.6,94.3,0.99,0.01,0.13,0.15,11,172,0.06395348837209303,6.395348837209303,2019-02-03
Galway Downs Winter H.T.(Jan 2020),-117.03396,33.48728,59.4,0.0,8.2,9.9,1.4,0.15,0.0,0.0,0.0,2,170,0.011764705882352941,1.1764705882352942,2020-01-31
Full Gallop Farm January H.T(Jan 2020),-81.58405,33.57045,44.5,0.0,10.7,9.9,24.7,0.01,0.62,0.62,0.79,1,54,0.018518518518518517,1.8518518518518516,2020-01-26
Rocking Horse Winter I H.T.(Jan 2020),-81.64143,28.99305,65.0,0.0,9.5,8.6,54.3,1.0,0.02,0.02,0.02,9,498,0.018072289156626505,1.8072289156626504,2020-01-24
Grand Oaks Horse Trials(Jan 2020),-82.21323000000002,29.40346,63.5,0.0,11.9,9.7,21.1,0.78,0.0,0.0,0.01,5,191,0.02617801047120419,2.6178010471204187,2020-01-18
Stable View Aiken Opener H.T.,-81.79998,33.64859000000001,43.7,0.0,12.2,9.3,10.4,0.35,0.11,0.13,0.14,5,267,0.018726591760299626,1.8726591760299627,2021-01-23
Full Gallop Farm January Schooling Show,-81.58405,33.57045,42.0,0.0,11.9,9.9,0.0,0.33,0.8,0.8,1.27,0,19,0.0,0.0,2020-01-05
Sporting Days Farm Horse Trials IV(Dec 2019),-81.59201,33.521390000000004,52.6,0.0,10.0,9.9,57.9,0.37,0.0,0.0,0.46,1,111,0.009009009009009009,0.9009009009009009,2019-12-07
Pine Top Thanksgiving Horse Trials,-82.46623000000002,33.45322,58.6,0.0,6.9,9.9,51.2,0.06,0.02,0.02,0.59,2,143,0.013986013986013986,1.3986013986013985,2019-11-30
Stable View Schooling Horse Trial(November),-81.79998,33.64859000000001,49.4,0.0,15.8,9.7,57.7,0.61,1.61,1.76,1.76,1,56,0.017857142857142856,1.7857142857142856,2019-11-17
Ocala Jockey Club International 3-Day Event,-82.13986,29.05603,63.0,0.01,10.3,8.8,79.3,0.52,0.08,0.36000000000000004,0.48,6,142,0.04225352112676056,4.225352112676056,2019-11-14
Majestic Oaks Horse Trials,-82.21323000000002,29.40346,62.7,0.0,11.4,9.9,66.0,0.14,0.0,0.0,0.0,4,97,0.041237113402061855,4.123711340206185,2019-01-12
Full Gallop Farm November HT,-81.58405,33.57045,48.1,0.0,14.7,9.8,0.1,0.18,0.03,0.35,0.42,2,70,0.02857142857142857,2.857142857142857,2019-11-03
Galway Downs International Event & H.T. (Nov 2019),-117.03396,33.48728,59.8,0.0,10.7,9.9,0.3,0.05,0.0,0.0,0.0,3,274,0.010948905109489052,1.094890510948905,2019-10-31
Chattahoochee Hills H.T.(Oct 2019),-84.70005,33.63993,70.6,0.15,11.9,9.3,84.8,0.97,0.07,0.24,1.46,8,210,0.0380952380952381,3.8095238095238098,2019-10-26
Waredaca Classic Horse Trials,-77.08061,39.23332,52.7,0.0,8.8,9.9,0.1,0.89,0.58,1.78,1.97,3,116,0.02586206896551724,2.586206896551724,2019-10-24
Fair Hill International CCI****/***,-79.36633,35.01506,62.7,0.5,10.6,7.8,73.9,0.53,1.5,1.5,1.5,12,103,0.11650485436893204,11.650485436893204,2019-10-16
War Horse Event Series (October 2019),-79.36633,35.01506,69.7,1.45,11.1,9.2,70.3,0.5,0.0,0.01,0.09,0,123,0.0,0.0,2019-10-13
MDHT at Loch Moy Farm Classic BN3 Day Event & H.T.,-77.42949,39.27075,59.6,0.0,8.1,9.9,4.2,0.46,0.22,0.26,0.26,12,269,0.04460966542750929,4.4609665427509295,2019-10-11
Kent School Fall H.T.(Oct 2019),-72.7383,41.5735,56.5,0.0,13.5,9.9,81.8,0.27,0.35,0.6799999999999999,0.6799999999999999,2,87,0.022988505747126436,2.2988505747126435,2019-10-06
Windridge Farm Fall HT,-81.82851,35.22747000000001,66.3,0.12,12.2,9.7,80.3,0.22,0.0,0.09,0.09,2,69,0.028985507246376812,2.898550724637681,2019-10-05
Morven Park Fall International H.T. & CCIS-2/3/4*,-77.55527,39.14542,67.9,0.0,15.2,9.6,35.0,0.16,0.0,0.51,0.51,11,332,0.03313253012048193,3.313253012048193,2019-10-04
Woodside International H.T.(Oct 2019),-122.24548,37.40747,56.3,0.0,19.6,9.6,11.9,0.12,0.01,0.01,0.01,10,341,0.02932551319648094,2.932551319648094,2019-10-03
Surefire Horse Trials,-77.76337,39.05034000000001,73.1,0.02,10.3,9.9,40.1,1.0,0.01,0.03,0.03,4,158,0.02531645569620253,2.5316455696202533,2019-09-28
Apple Knoll Farm H.T.(Sep 2019),-70.57221,41.86124,66.5,0.0,7.3,9.9,0.0,0.7,0.0,0.0,0.27,1,82,0.012195121951219513,1.2195121951219512,2019-09-21
Feather Creek Farm H.T.(Sept 2019),-97.331,35.23746,52.7,0.0,16.9,9.8,10.8,0.02,0.04,0.04,0.04,0,2,0.0,0.0,2019-09-20
Plantation Field International,-75.78744,39.90874,60.2,0.0,7.7,9.9,2.3,0.56,0.17,0.18000000000000002,0.39,6,185,0.032432432432432434,3.2432432432432434,2019-09-18
Blue Ridge Mountain Horse Trials at TIEC(Sep 2019),-82.0669,35.28265,75.9,0.09,5.1,8.7,61.9,0.5,0.1,0.23,0.23,5,147,0.034013605442176874,3.4013605442176873,2019-09-14
Course Brook Farm Fall Horse Trials,-71.39974000000002,42.25229,64.6,0.12,15.8,9.1,76.4,0.3,0.14,0.61,0.61,8,118,0.06779661016949153,6.779661016949152,2019-09-07
Hunt Club Farms-Eventing For The Cure!,-78.03623,39.19103,72.0,0.0,6.7,9.9,26.5,0.0,0.42,0.45,0.45,2,65,0.03076923076923077,3.076923076923077,2019-08-31
Chattahoochee Hills H.T. (Aug 2019),-84.70005,33.63993,76.4,0.0,13.3,9.9,5.5,1.0,0.42,0.63,0.86,4,99,0.04040404040404041,4.040404040404041,2019-08-30
Town Hill Farm Horse Trials(Aug 2019),-73.43115999999998,41.93681,66.5,0.02,9.3,9.8,19.9,0.72,1.09,1.58,2.44,6,152,0.039473684210526314,3.9473684210526314,2019-08-23
Full Gallop Farm August HT(Aug 2019),-81.58405,33.57045,79.9,0.27,12.1,8.9,48.9,0.51,2.8,2.8,3.14,0,103,0.0,0.0,2019-08-17
Catalpa Corner Charity Horse Trial,-91.41017,41.71473,76.8,0.0,8.4,9.9,0.0,0.03,0.0,0.2,0.24,10,172,0.05813953488372093,5.813953488372093,2019-08-03
Millbrook H.T.(Aug 2019),-73.61338,41.86105,71.8,0.0,8.1,8.7,7.0,1.0,0.13,0.13,0.13,15,377,0.03978779840848806,3.978779840848806,2019-08-01
Fair Hill International June Starter HT,-75.86013,39.70171,76.2,0.36,12.7,9.8,5.8,0.92,0.03,0.03,0.03,5,146,0.03424657534246575,3.4246575342465753,2019-06-29
Stable View Summer Horse Trials,-81.79998,33.64859000000001,76.3,0.12,27.5,9.7,15.1,0.6,0.22,0.41,0.41,4,145,0.027586206896551724,2.7586206896551726,2019-06-22
Essex Horse Trials,-74.63613000000002,40.68475,70.8,0.34,16.6,8.5,49.0,0.56,1.43,1.45,1.45,9,272,0.03308823529411765,3.308823529411765,2019-06-21
Fox River Valley Pony Club HT,-88.22379000000002,42.14542,62.5,0.34,13.5,8.8,72.9,0.53,0.09,0.32,0.52,11,244,0.045081967213114756,4.508196721311475,2019-06-20
Full Gallop Farm June Horse Trials,-81.58405,33.57045,70.8,0.0,5.8,9.9,0.2,0.47,0.85,1.46,3.66,2,62,0.03225806451612903,3.225806451612903,2019-06-15
Plantation Field June Starter Horse Trials,-75.78744,39.90874,67.7,0.0,10.1,9.9,4.1,0.51,1.12,1.4600000000000002,1.4600000000000002,1,145,0.006896551724137931,0.6896551724137931,2020-06-07
Plantation Field June Starter Horse Trials,-75.78744,39.90874,67.7,0.0,10.1,9.9,4.1,0.51,1.12,1.4600000000000002,1.4600000000000002,1,145,0.006896551724137931,0.6896551724137931,2019-06-09
Plantation Field H.T.(June 2019),-75.78744,39.90874,68.5,0.0,15.5,9.8,0.3,0.13,0.12,0.12,0.34,1,149,0.006711409395973154,0.6711409395973155,2019-06-08
Feather Creek Farm H.T.(Aug 2019),-97.331,35.23746,52.7,0.0,16.9,9.8,10.8,0.02,0.04,0.04,0.04,2,63,0.031746031746031744,3.1746031746031744,2019-06-07
Stable View Spring Horse Trials,-81.79998,33.64859000000001,74.1,0.03,10.0,9.4,59.3,0.04,0.02,0.02,0.02,3,179,0.01675977653631285,1.675977653631285,2019-06-06
Full Gallop Farm June Schooling Show,-81.58405,33.57045,77.5,0.0,14.1,9.9,21.6,0.99,0.0,0.0,0.0,0,35,0.0,0.0,2019-06-02
Poplar Place Farm June HT & Area Championships,-84.86506999999997,32.7023,82.0,0.0,14.9,9.8,21.3,0.94,0.0,0.0,0.0,3,205,0.014634146341463415,1.4634146341463417,2019-05-31
Flora Lea Spring Horse Trials,-74.81492,39.89668,64.2,0.0,9.1,9.9,36.2,0.68,0.09,0.09,0.09,1,46,0.021739130434782608,2.1739130434782608,2019-05-25
Chattahoochee Hills May H.T.,-84.70005,33.63993,76.1,0.0,7.8,9.8,17.6,0.5,0.0,0.01,1.29,12,278,0.04316546762589928,4.316546762589928,2019-05-18
Otter Creek Spring H.T.(May 2019),-91.89656,45.10324,56.0,0.0,11.9,9.9,20.7,0.48,0.46,0.46,0.47,7,171,0.04093567251461988,4.093567251461988,2019-05-17
Galway Downs Spring Horse Trials (2019),-117.03396,33.48728,57.7,0.09,6.8,9.9,55.3,0.14,0.08,0.28,0.28,3,185,0.016216216216216217,1.6216216216216217,2019-05-10
Jersey Fresh International Three-day Event,-74.49821,40.19321,61.0,0.46,9.7,9.5,65.8,0.05,1.75,1.8,1.8,6,117,0.05128205128205128,5.128205128205128,2019-05-08
Fair Hill International May Starter HT,-75.86013,39.70171,63.9,0.0,8.9,5.0,47.4,1.0,0.03,0.06999999999999999,0.09,1,163,0.006134969325153374,0.6134969325153374,2019-05-04
Loudoun Hunt Pony Club Spring Horse Trial (April 2,-77.55527,39.14542,59.7,0.0,27.3,9.9,23.7,0.76,0.51,0.51,0.52,9,277,0.032490974729241874,3.2490974729241873,2019-04-27
Long Leaf Pine Horse Trials - CHP,-79.36633,35.01506,56.3,0.1,19.1,9.9,65.3,0.5,0.39,0.63,1.65,0,65,0.0,0.0,2019-04-20
Fair Hill International April Horse Trials,-75.86013,39.70171,67.9,0.13,18.9,9.5,40.1,0.5,0.0,0.33,0.6699999999999999,8,205,0.03902439024390244,3.902439024390244,2019-04-19
Stable View Schooling Horse Trial,-81.79998,33.64859000000001,71.6,0.11,20.5,9.9,81.1,0.32,0.23,1.83,2.96,0,58,0.0,0.0,2019-04-14
FENCE Horse Trial (April 2019),-82.17685,35.19682,52.7,0.0,16.9,9.8,10.8,0.02,0.04,0.04,0.04,4,156,0.02564102564102564,2.564102564102564,2019-04-13
Ocala International 3-Day Festival of Eventing,-82.13986,29.05603,71.8,0.02,7.4,9.6,48.6,0.11,0.36,1.0299999999999998,1.0599999999999998,13,417,0.03117505995203837,3.117505995203837,2019-04-10
Full Moon Farms 2019 Spring Thing,-76.91386,39.4572,58.7,0.01,11.9,9.7,61.7,0.01,0.08,0.1,0.12,1,69,0.014492753623188406,1.4492753623188406,2019-04-07
Chattahoochee Hills H.T. (April 2019),-84.70005,33.63993,64.3,0.18,11.0,9.2,71.4,1.0,0.06,0.16999999999999998,0.16999999999999998,7,267,0.026217228464419477,2.6217228464419478,2019-04-05
The Fork at Tryon (April 2019),-82.0669,35.28265,53.3,0.0,6.6,9.8,1.3,0.98,0.08,0.08,0.08,3,169,0.01775147928994083,1.7751479289940828,2019-04-03
Full Gallop Farm March II H.T. (2019),-81.58405,33.57045,60.1,0.01,18.2,9.8,30.9,0.88,0.0,0.09,0.58,2,114,0.017543859649122806,1.7543859649122806,2019-03-31
